Adjustment Type,Day,Country,Video ID,Video Title,Video Duration (sec),Category,Channel ID,Uploader,Channel Display Name,Content Type,Policy,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,20240605,ID,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,188,0.191487,0,0,0,0.191487,0.10531785,0,0,0,0.10531785
None,20240605,JP,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240605,MY,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,19,0.036095,0,0,0,0.036095,0.01985225,0,0,0,0.01985225
None,20240605,US,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0.007056,0,0,0,0.007056,0.0038808,0,0,0,0.0038808
None,20240606,AU,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,2,0.054622,0,0,0,0.054622,0.0300421,0,0,0,0.0300421
None,20240606,HK,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0.002378,0,0,0,0.002378,0.0013079,0,0,0,0.0013079
None,20240606,ID,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,176,0.161862,0,0,0,0.161862,0.0890241,0,0,0,0.0890241
None,20240606,JP,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
None,20240606,MY,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,23,0.043719,0,0,0,0.043719,0.02404545,0,0,0,0.02404545
None,20240606,NO,lotBeiBlfkw,JCC Worship - Hari Terbaik (Cover),327,nonprofits,UCIimjC2xJp3Zi6CAr5-TMIg,,Jesus Center Church (JCC) Cijantung,Partner-provided,monetize,1,0,0,0,0,0,0,0,0,0,0
